store_name,website,status,pages_checked,manual_decision,recommended_action
Villainous Lair,https://www.villainouslair.com/,no_email_found,13,,verify_manually
Warhammer Madison,https://www.warhammermadison.com/,no_email_found,13,,verify_manually
Wildcat Toys,https://www.wildcattoys.com/,no_email_found,13,,verify_manually
Wonder Works Toys,https://wonderworkstoys.com/,contact_form_only,13,,verify_manually
Wonderment Toys,https://www.wondermenttoys.com/,no_email_found,13,,verify_manually
Yellowstone Forever Gift Shop,https://www.yellowstoneforever.org/,no_email_found,13,,verify_manually
Zulu's Board Game Cafe,https://www.zuluscafe.com/,no_email_found,13,,verify_manually
