store_name,website,status,pages_checked,manual_decision,recommended_action
Aerobellum Games,https://aerobellumgames.com,no_email_found,13,,verify_manually
Bandit Board Games,https://banditboardgames.com,no_email_found,13,,verify_manually
Board Royale,https://www.boardroyale.com,no_email_found,13,,verify_manually
Chip Theory Games,https://www.chiptheorygames.com,contact_form_only,13,,verify_manually
Exploding Kittens,https://www.explodingkittens.com,no_email_found,13,,verify_manually
Modern Tarot,https://www.moderntarot.co,no_email_found,13,,verify_manually
Mondo Games,https://mondoshop.com,contact_form_only,13,,verify_manually
Postcardly,https://www.postcardly.com,no_email_found,13,,verify_manually
